"Name.en","Name.fr","Name.de"
"[CA6N] Private nonfarm compensation: Beverage and tobacco product manufacturing","[CA6N] Private rémunération non agricole: les boissons et le tabac fabrication de produits","[CA6N] Privat außerhalb der Landwirtschaft Entschädigung: Getränke- und Tabakproduktherstellung"
"[SA25N] Private nonfarm employment: Beverage and tobacco product manufacturing","[SA25N] l'emploi non agricole privé: boissons et tabac Fabrication de produits","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Getränke- und Tabakproduktherstellung"
"[SA27N] Private nonfarm wage and salary employment: Beverage and tobacco product manufacturing","[SA27N] salaire privé non agricole et de l'emploi de salaire: les boissons et le tabac fabrication de produits","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Getränke- und Tabakproduktherstellung"
"[SA5N] Private nonfarm earnings: Beverage and tobacco product manufacturing","[SA5N] privées bénéfice non agricoles: les boissons et la fabrication de produits du tabac","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Getränke- und Tabakproduktherstellung"
"[SA6N] Private nonfarm compensation: Beverage and tobacco product manufacturing","[SA6N] Private rémunération non agricole: les boissons et le tabac fabrication de produits","[SA6N] Privat außerhalb der Landwirtschaft Entschädigung: Getränke- und Tabakproduktherstellung"
"[SA7N] Private nonfarm wages and salaries: Beverage and tobacco product manufacturing","[SA7N] les salaires non agricoles privés et les salaires: les boissons et la fabrication de produits du tabac","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Getränke und Herstellung von Tabakerzeugnissen"
"[CA5N] Private nonfarm earnings: Textile mills","[CA5N] privées bénéfice non agricoles: Les usines de textile","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Textilfabriken"
"[CA6N] Private nonfarm compensation: Textile mills","[CA6N] non agricoles privés compensation: Les usines de textile","[CA6N] Privat außerhalb der Landwirtschaft Entschädigung: Textilfabriken"
"[SA25N] Private nonfarm employment: Textile mills","[SA25N] l'emploi non agricole privé: les usines textiles","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Textilfabriken"
"[SA27N] Private nonfarm wage and salary employment: Textile mills","[SA27N] salaire non agricole privé et de l'emploi de salaire: les usines textiles","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Textilfabriken"
"[SA5N] Private nonfarm earnings: Textile mills","[SA5N] privées bénéfice non agricoles: Les usines de textile","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Textilfabriken"
"[SA6N] Private nonfarm compensation: Textile mills","[SA6N] non agricoles privés compensation: Les usines de textile","[SA6N] Privat außerhalb der Landwirtschaft Entschädigung: Textilfabriken"
"[SA7N] Private nonfarm wages and salaries: Textile mills","[SA7N] les salaires non agricoles privés et salaires: Les usines de textile","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Textilfabriken"
"[CA5N] Private nonfarm earnings: Textile product mills","[CA5N] privées bénéfice non agricoles: usines de produits textiles","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Textile Produktmühlen"
"[CA6N] Private nonfarm compensation: Textile product mills","[CA6N] Private rémunération non agricole: les usines de produits textiles","[CA6N] Privat außerhalb der Landwirtschaft Entschädigung: Textilproduktmühlen"
"[SA25N] Private nonfarm employment: Textile product mills","[SA25N] l'emploi non agricole privé: usines de produits textiles","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Textilproduktmühlen"
"[SA27N] Private nonfarm wage and salary employment: Textile product mills","[SA27N] salaire non agricole privé et de l'emploi de salaire: usines de produits textiles","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Textilproduktmühlen"
"[SA5N] Private nonfarm earnings: Textile product mills","[SA5N] privées bénéfice non agricoles: usines de produits textiles","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Textile Produktmühlen"
"[SA6N] Private nonfarm compensation: Textile product mills","[SA6N] Private rémunération non agricole: les usines de produits textiles","[SA6N] Privat außerhalb der Landwirtschaft Entschädigung: Textilproduktmühlen"
"[SA7N] Private nonfarm wages and salaries: Textile product mills","[SA7N] les salaires non agricoles privés et salaires: usines de produits textiles","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Textilproduktmühlen"
"[CA5N] Private nonfarm earnings: Apparel manufacturing","[CA5N] privées gains non agricoles: fabrication de vêtements","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Bekleidung Herstellung"
"[CA6N] Private nonfarm compensation: Apparel manufacturing","[CA6N] Private rémunération non agricole: fabrication de vêtements","[CA6N] Privat außerhalb der Landwirtschaft Vergütung: Bekleidung Herstellung"
"[SA25N] Private nonfarm employment: Apparel manufacturing","[SA25N] l'emploi non agricole privé: fabrication de vêtements","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Bekleidung Herstellung"
"[SA27N] Private nonfarm wage and salary employment: Apparel manufacturing","[SA27N] non agricole emploi salarié privé: fabrication de vêtements","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Bekleidung Herstellung"
"[SA5N] Private nonfarm earnings: Apparel manufacturing","[SA5N] privées gains non agricoles: fabrication de vêtements","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Bekleidung Herstellung"
"[SA6N] Private nonfarm compensation: Apparel manufacturing","[SA6N] Private rémunération non agricole: fabrication de vêtements","[SA6N] Privat außerhalb der Landwirtschaft Vergütung: Bekleidung Herstellung"
"[SA7N] Private nonfarmwages and salaries: Apparel manufacturing","[SA7N] nonfarmwages et salaires privés: fabrication de vêtements","[SA7N] Privat nonfarmwages und Gehälter: Bekleidung Herstellung"
"[CA5N] Private nonfarm earnings: Leather and allied product manufacturing","[CA5N] privées bénéfice non agricoles: Cuir et de la fabrication de produits analogues","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Leder und verwandte Produktherstellung"
"[CA6N] Private nonfarm compensation: Leather and allied product manufacturing","[CA6N] Private rémunération non agricole: Cuir et de la fabrication de produits analogues","[CA6N] Privat außerhalb der Landwirtschaft Entschädigung: Leder und verwandte Produktherstellung"
"[SA25N] Private nonfarm employment: Leather and allied product manufacturing","[SA25N] l'emploi non agricole privé: Cuir et de la fabrication de produits analogues","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Leder und verwandte Produktherstellung"
"[SA27N] Private nonfarm wage and salary employment: Leather and allied product manufacturing","[SA27N] salaire privé non agricole et de l'emploi de salaire: Cuir et de la fabrication de produits analogues","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Leder und verwandte Produktherstellung"
"[SA5N] Private nonfarm earnings: Leather and allied product manufacturing","[SA5N] privées bénéfice non agricoles: Cuir et de la fabrication de produits analogues","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Leder und verwandte Produktherstellung"
"[SA6N] Private nonfarm compensation: Leather and allied product manufacturing","[SA6N] Private rémunération non agricole: Cuir et de la fabrication de produits analogues","[SA6N] Privat außerhalb der Landwirtschaft Entschädigung: Leder und verwandte Produktherstellung"
"[SA7N] Private nonfarm wages and salaries: Leather and allied product manufacturing","[SA7N] salaires privés non agricoles et les salaires: Cuir et de la fabrication de produits analogues","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Leder und verwandte Produktherstellung"
"[CA5N] Private nonfarm earnings: Paper manufacturing","[CA5N] privées bénéfice non agricoles: la fabrication de papier","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Papierherstellung"
"[CA6N] Private nonfarm compensation: Paper manufacturing","[CA6N] Private rémunération non agricole: fabrication de papier","[CA6N] Privat außerhalb der Landwirtschaft Vergütung: Papierherstellung"
"[SA25N] Private nonfarm employment: Paper manufacturing","[SA25N] l'emploi non agricole privé: la fabrication du papier","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Papierherstellung"
"[SA27N] Private nonfarm wage and salary employment: Paper manufacturing","[SA27N] non agricole emploi salarié privé: Fabrication du papier","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Papierherstellung"
"[SA5N] Private nonfarm earnings: Paper manufacturing","[SA5N] privées bénéfice non agricoles: la fabrication de papier","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Papierherstellung"
"[SA6N] Private nonfarm compensation: Paper manufacturing","[SA6N] Private rémunération non agricole: fabrication de papier","[SA6N] Privat außerhalb der Landwirtschaft Vergütung: Papierherstellung"
"[SA7N] Private nonfarm wages and salaries: Paper manufacturing","[SA7N] traitements et salaires non agricoles privés: fabrication de papier","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Papierherstellung"
"[CA5N] Private nonfarm earnings: Printing and related support activities","[CA5N] privées gains non agricoles: Impression et activités connexes de soutien","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Der Druck und die damit verbundenen Support-Aktivitäten"
"[CA6N] Private nonfarm compensation: Printing and related support activities","[CA6N] Private rémunération non agricole: Impression et activités connexes de soutien","[CA6N] Privat außerhalb der Landwirtschaft Vergütung: Druck und zugehörige Support-Aktivitäten"
"[SA25N] Private nonfarm employment: Printing and related support activities","[SA25N] l'emploi non agricole privé: Impression et activités connexes de soutien","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Der Druck und die damit verbundenen Support-Aktivitäten"
"[SA27N] Private nonfarm wage and salary employment: Printing and related support activities","[SA27N] salaire non agricole privé et le salaire emploi: Impression et activités connexes de soutien","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Aktivitäten Druck und damit verbundene Unterstützung"
"[SA5N] Private nonfarm earnings: Printing and related support activities","[SA5N] privées gains non agricoles: Impression et activités connexes de soutien","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Der Druck und die damit verbundenen Support-Aktivitäten"
"[SA6N] Private nonfarm compensation: Printing and related support activities","[SA6N] Private rémunération non agricole: Impression et activités connexes de soutien","[SA6N] Privat außerhalb der Landwirtschaft Vergütung: Druck und zugehörige Support-Aktivitäten"
"[SA7N] Private nonfarm wages and salaries: Printing and related support activities","[SA7N] salaires et traitements non agricoles privés: Impression et activités connexes de soutien","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Der Druck und die damit verbundenen Support-Aktivitäten"
"[CA5N] Private nonfarm earnings: Petroleum and coal products manufacturing","[CA5N] privées bénéfice non agricoles: la fabrication du pétrole et du charbon","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Erdöl und Herstellung Kohleprodukte"
"[CA6N] Private nonfarm compensation: Petroleum and coal products manufacturing","[CA6N] Private rémunération non agricole: pétrole et produits du charbon fabrication","[CA6N] Privat außerhalb der Landwirtschaft Entschädigung: Erdöl und Kohle-Produkte Fertigung"
"[SA25N] Private nonfarm employment: Petroleum and coal products manufacturing","[SA25N] l'emploi non agricole privé: pétrole et produits du charbon fabrication","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Erdöl und Kohle-Produkte Fertigung"
"[SA27N] Private nonfarm wage and salary employment: Petroleum and coal products manufacturing","[SA27N] salaire non agricole privé et le salaire de l'emploi: pétrole et produits du charbon fabrication","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Erdöl und Herstellung Kohleprodukte"
"[SA5N] Private nonfarm earnings: Petroleum and coal products manufacturing","[SA5N] privées bénéfice non agricoles: la fabrication du pétrole et du charbon","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Erdöl und Herstellung Kohleprodukte"
"[SA6N] Private nonfarm compensation: Petroleum and coal products manufacturing","[SA6N] Private rémunération non agricole: pétrole et produits du charbon fabrication","[SA6N] Privat außerhalb der Landwirtschaft Entschädigung: Erdöl und Kohle-Produkte Fertigung"
"[SA7N] Private nonfarm wages and salaries: Petroleum and coal products manufacturing","[SA7N] les salaires non agricoles privés et les salaires: le pétrole et les produits du charbon fabrication","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Erdöl und Herstellung Kohleprodukte"
"[CA5] Private nonfarm earnings: Other transportation","[CA5] privées gains non agricoles: Autre transport","[CA5] Privat außerhalb der Landwirtschaft Ergebnis: Andere Transport"
"[CA6] Private nonfarm compensation: Other transportation","[CA6] Private rémunération non agricole: Autre transport","[CA6] Privat außerhalb der Landwirtschaft Entschädigung: Andere Transport"
"[SA25] Private nonfarm employment: Other transportation","[SA25] de l'emploi non agricole privé: Autre transport","[SA25] Privat außerhalb der Landwirtschaft Beschäftigung: Andere Transport"
"[SA27] Private nonfarm wage and salary employment: Other transportation","[SA27] salaire non agricole privé et de l'emploi de salaire: Autre transport","[SA27] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Andere Transport"
"[SA5] Private nonfarm earnings: Other transportation","[SA5] privées gains non agricoles: Autre transport","[SA5] Privat außerhalb der Landwirtschaft Ergebnis: Andere Transport"
"[SA6] Private nonfarm compensation: Other transportation","[SA6] Private rémunération non agricole: Autre transport","[SA6] Privat außerhalb der Landwirtschaft Entschädigung: Andere Transport"
"[SA7] Private nonfarm wages and salaries: Other transportation","[SA7] traitements et salaires non agricoles privés: Autre transport","[SA7] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Andere Transport"
"[CA5] Private nonfarm earnings: Local and interurban passenger transit","[CA5] privées gains non agricoles: transit de passagers locaux et interurbains","[CA5] Privat außerhalb der Landwirtschaft Ergebnis: Lokale und Fernpersonenbeförderung"
"[CA5N] Private nonfarm earnings: Chemical manufacturing","[CA5N] privées bénéfice non agricoles: Fabrication de produits chimiques","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Chemische Herstellungs"
"[CA6] Private nonfarm compensation: Local and interurban passenger transit","[CA6] Private rémunération non agricole: transit de passagers locaux et interurbains","[CA6] Privat außerhalb der Landwirtschaft Kompensation: Lokale und Fernpersonenbeförderung"
"[CA6N] Private nonfarm compensation: Chemical manufacturing","[CA6N] Private rémunération non agricole: Fabrication de produits chimiques","[CA6N] Privat außerhalb der Landwirtschaft Kompensation: Chemische Herstellungs"
"[SA25] Private nonfarm employment: Local and interurban passenger transit","[SA25] de l'emploi non agricole privé: transit de passagers locaux et interurbains","[SA25] Privat außerhalb der Landwirtschaft Beschäftigung: Lokale und Fernpersonenbeförderung"
"[SA25N] Private nonfarm employment: Chemical manufacturing","[SA25N] l'emploi non agricole privé: Fabrication de produits chimiques","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Chemische Herstellungs"
"[SA27] Private nonfarm wage and salary employment: Local and interurban passenger transit","[SA27] non agricole emploi salarié privé: local et de transit interurbain de voyageurs","[SA27] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Lokale und Fernpersonenbeförderung"
"[SA27N] Private nonfarm wage and salary employment: Chemical manufacturing","[SA27N] non agricole emploi salarié privé: Fabrication de produits chimiques","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Chemische Herstellungs"
"[SA5] Private nonfarm earnings: Local and interurban passenger transit","[SA5] privées gains non agricoles: transit de passagers locaux et interurbains","[SA5] Privat außerhalb der Landwirtschaft Ergebnis: Lokale und Fernpersonenbeförderung"
"[SA5N] Private nonfarm earnings: Chemical manufacturing","[SA5N] privées bénéfice non agricoles: Fabrication de produits chimiques","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Chemische Herstellungs"
"[SA6] Private nonfarm compensation: Local and interurban passenger transit","[SA6] Private rémunération non agricole: transit de passagers locaux et interurbains","[SA6] Privat außerhalb der Landwirtschaft Kompensation: Lokale und Fernpersonenbeförderung"
"[SA6N] Private nonfarm compensation: Chemical manufacturing","[SA6N] Private rémunération non agricole: Fabrication de produits chimiques","[SA6N] Privat außerhalb der Landwirtschaft Kompensation: Chemische Herstellungs"
"[SA7] Private nonfarm wages and salaries: Local and interurban passenger transit","[SA7] traitements et salaires non agricoles privés: transit de passagers locaux et interurbains","[SA7] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Lokale und Fernpersonenbeförderung"
"[SA7N] Private nonfarm wages and salaries: Chemical manufacturing","[SA7N] traitements et salaires non agricoles privés: Fabrication de produits chimiques","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Chemische Herstellungs"
"[CA5] Private nonfarm earnings: Transportation by air","[CA5] privées gains non agricoles: Transports aériens","[CA5] Privat außerhalb der Landwirtschaft Ergebnis: Transport von Luft"
"[CA5N] Private nonfarm earnings: Plastics and rubber products manufacturing","[CA5N] privées gains non agricoles: Matières plastiques et produits en caoutchouc fabrication","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Herstellung Kunststoffe und Gummiwaren"
"[CA6] Private nonfarm compensation: Transportation by air","[CA6] Private rémunération non agricole: Transport aérien","[CA6] Privat außerhalb der Landwirtschaft Entschädigung: Transport von Luft"
"[CA6N] Private nonfarm compensation: Plastics and rubber products manufacturing","[CA6N] Private rémunération non agricole: Matières plastiques et produits en caoutchouc fabrication","[CA6N] Privat außerhalb der Landwirtschaft Entschädigung: Kunststoff- und Gummiprodukte Fertigung"
"[SA25] Private nonfarm employment: Transportation by air","[SA25] de l'emploi non agricole privé: Transport aérien","[SA25] Privat außerhalb der Landwirtschaft Beschäftigung: Transport auf dem Luftweg"
"[SA25N] Private nonfarm employment: Plastics and rubber products manufacturing","[SA25N] l'emploi non agricole privé: Matières plastiques et produits en caoutchouc fabrication","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Kunststoffe und Gummiwaren Herstellung"
"[SA27] Private nonfarm wage and salary employment: Transportation by air","[SA27] salaire privé non agricole et de l'emploi de salaire: Transport aérien","[SA27] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Transport auf dem Luftweg"
"[SA27N] Private nonfarm wage and salary employment: Plastics and rubber products manufacturing","[SA27N] non agricole privée emploi salarié: Matières plastiques et produits en caoutchouc fabrication","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Herstellung Kunststoffe und Gummiwaren"
"[SA5] Private nonfarm earnings: Transportation by air","[SA5] privées gains non agricoles: Transports aériens","[SA5] Privat außerhalb der Landwirtschaft Ergebnis: Transport von Luft"
"[SA5N] Private nonfarm earnings: Plastics and rubber products manufacturing","[SA5N] privées gains non agricoles: Matières plastiques et produits en caoutchouc fabrication","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Herstellung Kunststoffe und Gummiwaren"
"[SA6] Private nonfarm compensation: Transportation by air","[SA6] Private rémunération non agricole: Transport aérien","[SA6] Privat außerhalb der Landwirtschaft Entschädigung: Transport von Luft"
"[SA6N] Private nonfarm compensation: Plastics and rubber products manufacturing","[SA6N] Private rémunération non agricole: Matières plastiques et produits en caoutchouc fabrication","[SA6N] Privat außerhalb der Landwirtschaft Entschädigung: Kunststoff- und Gummiprodukte Fertigung"
"[SA7] Private nonfarm wages and salaries: Transportation by air","[SA7] traitements et salaires non agricoles privés: Transport aérien","[SA7] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Transport auf dem Luftweg"
"[SA7N] Private nonfarm wages and salaries: Plastics and rubber products manufacturing","[SA7N] les salaires non agricoles privés et salaires: Matières plastiques et produits en caoutchouc fabrication","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Kunststoffe und Gummiwaren Herstellung"
"[CA5] Private nonfarm earnings: Pipelines, except natural gas","[CA5] privées gains non agricoles: Pipelines, sauf gaz naturel","[CA5] Privat außerhalb der Landwirtschaft Ergebnis: Pipelines, außer Erdgas"
"[CA6] Private nonfarm compensation: Pipelines, except natural gas","[CA6] Private rémunération non agricole: Pipelines, sauf gaz naturel","[CA6] Privat außerhalb der Landwirtschaft Entschädigung: Pipelines, außer Erdgas"
"[SA25] Private nonfarm employment: Pipelines, except natural gas","[SA25] de l'emploi non agricole privé: Pipelines, sauf gaz naturel","[SA25] Privat außerhalb der Landwirtschaft Beschäftigung: Pipelines, außer Erdgas"
"[SA27] Private nonfarm wage and salary employment: Pipelines, except natural gas","[SA27] salaire privé non agricole et de l'emploi de salaire: Pipelines, sauf gaz naturel","[SA27] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Pipelines, mit Ausnahme von Erdgas"
"[SA5] Private nonfarm earnings: Pipelines, except natural gas","[SA5] privées gains non agricoles: Pipelines, sauf gaz naturel","[SA5] Privat außerhalb der Landwirtschaft Ergebnis: Pipelines, außer Erdgas"
"[SA6] Private nonfarm compensation: Pipelines, except natural gas","[SA6] Private rémunération non agricole: Pipelines, sauf gaz naturel","[SA6] Privat außerhalb der Landwirtschaft Entschädigung: Pipelines, außer Erdgas"
"[SA7] Private nonfarm wages and salaries: Pipelines, except natural gas","[SA7] salaires privés non agricoles et les salaires: Pipelines, sauf gaz naturel","[SA7] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Pipelines, außer Erdgas"
"[CA5] Private nonfarm earnings: Transportation services","[CA5] privées bénéfice non agricoles: Services de transport","[CA5] Privat außerhalb der Landwirtschaft Ergebnis: Beförderungsleistungen"
"[CA6] Private nonfarm compensation: Transportation services","[CA6] rémunération non agricole privée: Services de transport","[CA6] Privat außerhalb der Landwirtschaft Entschädigung: Beförderungsleistungen"
"[SA25] Private nonfarm employment: Transportation services","[SA25] l'emploi non agricole privé: Services de transport","[SA25] Privat außerhalb der Landwirtschaft Beschäftigung: Beförderungsleistungen"
"[SA27] Private nonfarm wage and salary employment: Transportation services","[SA27] salaire non agricole privé et de l'emploi de salaire: Services de transport","[SA27] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Beförderungsleistungen"
"[SA5] Private nonfarm earnings: Transportation services","[SA5] privées bénéfice non agricoles: Services de transport","[SA5] Privat außerhalb der Landwirtschaft Ergebnis: Beförderungsleistungen"
"[SA6] Private nonfarm compensation: Transportation services","[SA6] rémunération non agricole privée: Services de transport","[SA6] Privat außerhalb der Landwirtschaft Entschädigung: Beförderungsleistungen"
"[SA7] Private nonfarm wages and salaries: Transportation services","[SA7] les salaires non agricoles privés et salaires: Services de transport","[SA7] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Beförderungsleistungen"
"[CA5] Private nonfarm earnings: Communications","[CA5] privées gains non agricoles: Communications","[CA5] Privat außerhalb der Landwirtschaft Ergebnis: Kommunikation"
"[CA6] Private nonfarm compensation: Communications","[CA6] Private rémunération non agricole: Communications","[CA6] Privat außerhalb der Landwirtschaft Entschädigung: Kommunikation"
"[SA25] Private nonfarm employment: Communications","[SA25] emploi non agricole privé: Communications","[SA25] Privat außerhalb der Landwirtschaft Beschäftigung: Kommunikation"
"[SA27] Private nonfarm wage and salary employment: Communications","[SA27] salaire non agricole privé et de l'emploi de salaire: Communications","[SA27] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Kommunikation"
"[SA5] Private nonfarm earnings: Communications","[SA5] privées gains non agricoles: Communications","[SA5] Privat außerhalb der Landwirtschaft Ergebnis: Kommunikation"
"[SA6] Private nonfarm compensation: Communications","[SA6] Private rémunération non agricole: Communications","[SA6] Privat außerhalb der Landwirtschaft Entschädigung: Kommunikation"
"[SA7] Private nonfarm wages and salaries: Communications","[SA7] les salaires non agricoles privés et salaires: Communications","[SA7] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Kommunikation"
"[CA5] Private nonfarm earnings: Electric, gas, and sanitary services","[CA5] privées gains non agricoles: électrique, gaz et services sanitaires","[CA5] Privat außerhalb der Landwirtschaft Ergebnis: Elektro, Gas und Sanitärdienstleistungen"
"[CA6] Private nonfarm compensation: Electric, gas, and sanitary services","[CA6] Private rémunération non agricole: électrique, gaz et services sanitaires","[CA6] Privat außerhalb der Landwirtschaft Kompensation: Elektro-, Gas- und Sanitärdienstleistungen"
"[SA25] Private nonfarm employment: Electric, gas, and sanitary services","[SA25] de l'emploi non agricole privé: Électricité, gaz et services sanitaires","[SA25] Privat außerhalb der Landwirtschaft Beschäftigung: Elektro-, Gas- und Sanitärdienstleistungen"
"[SA27] Private nonfarm wage and salary employment: Electric, gas, and sanitary services","salaire privé non agricole et de l'emploi de salaire [SA27]: Services électriques, gaz et sanitaires","[SA27] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Elektro-, Gas- und Sanitärdienstleistungen"
"[SA5] Private nonfarm earnings: Electric, gas, and sanitary services","[SA5] privées gains non agricoles: électrique, gaz et services sanitaires","[SA5] Privat außerhalb der Landwirtschaft Ergebnis: Elektro, Gas und Sanitärdienstleistungen"
"[SA6] Private nonfarm compensation: Electric, gas, and sanitary services","[SA6] Private rémunération non agricole: électrique, gaz et services sanitaires","[SA6] Privat außerhalb der Landwirtschaft Kompensation: Elektro-, Gas- und Sanitärdienstleistungen"
"[SA7] Private nonfarm wages and salaries: Electric, gas, and sanitary services","[SA7] salaires privés non agricoles et les salaires: électrique, gaz et services sanitaires","[SA7] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Elektro-, Gas- und Sanitärdienstleistungen"
"[CA6] Supplements to wages and salaries","[CA6] Suppléments aux salaires et traitements","[CA6] Ergänzungen auf Löhne und Gehälter"
"[CA6N] Supplements to wages and salaries","[CA6N] Suppléments aux salaires et traitements","[CA6N] Ergänzungen auf Löhne und Gehälter"
"[SA6] Supplements to wages and salaries","[SA6] Suppléments aux salaires et traitements","[SA6] Ergänzungen auf Löhne und Gehälter"
"[SA6N] Supplements to wages and salaries","[SA6N] Suppléments aux salaires et traitements","[SA6N] Ergänzungen auf Löhne und Gehälter"
"[SQ6] Supplements to wages and salaries","[SQ6] Suppléments aux salaires et traitements","[SQ6] Ergänzungen auf Löhne und Gehälter"
"[SQ6N] Supplements to wages and salaries","[SQ6N] Suppléments aux salaires et traitements","[SQ6N] Ergänzungen auf Löhne und Gehälter"
"[CA25] Nonfarm proprietors employment","[CA25] propriétaires Nonfarm emploi","[CA25] Nichtfarmlohn- Eigentümer Beschäftigung"
"[CA25N] Nonfarm proprietors employment","[CA25N] propriétaires de Nonfarm emploi","[CA25N] Nichtfarmlohn- Eigentümer Beschäftigung"
"[CA30] Income maintenance benefits","prestations de maintien du revenu [de CA30]","[CA30] Einkommenssicherung Vorteile"
"[CA4] Supplements to wages and salaries","[CA4] Suppléments aux salaires et traitements","[CA4] Ergänzungen auf Löhne und Gehälter"
"[CA45] Cash receipts: Crops","[CA45] Encaissements: Cultures","[CA45] Einzahlungen: Getreide"
"[CA5] Supplements to wages and salaries","[CA5] Suppléments aux salaires et traitements","[CA5] Ergänzungen auf Löhne und Gehälter"
"[CA5N] Supplements to wages and salaries","[CA5N] Suppléments aux salaires et traitements","[CA5N] Ergänzungen auf Löhne und Gehälter"
"[SA25] Nonfarm proprietors employment","[SA25] Nonfarm propriétaires emploi","[SA25] Nichtfarmlohn- Eigentümer Beschäftigung"
"[SA25N] Nonfarm proprietors employment","[SA25N] propriétaires de Nonfarm emploi","[SA25N] Nichtfarmlohn- Eigentümer Beschäftigung"
"[SA30] Income maintenance benefits","[SA30] prestations de maintien du revenu","[SA30] Einkommenssicherung Vorteile"
"[SA4] Supplements to wages and salaries","[SA4] Suppléments aux salaires et traitements","[SA4] Ergänzungen auf Löhne und Gehälter"
"[SA45] Cash receipts: Crops","[SA45] Encaissements: Cultures","[SA45] Einzahlungen: Getreide"
"[SA5] Supplements to wages and salaries","[SA5] Suppléments aux salaires et traitements","[SA5] Ergänzungen auf Löhne und Gehälter"
"[SA50] Personal current taxes","[SA50] impôts courants personnels","[SA50] Persönliche laufenden Steuern"
"[SA5H] Supplements to wages and salaries","[SA5H] Suppléments aux salaires et traitements","[SA5H] Ergänzungen auf Löhne und Gehälter"
"[SA5N] Supplements to wages and salaries","[SA5N] Suppléments aux salaires et traitements","[SA5N] Ergänzungen auf Löhne und Gehälter"
